Mean Bids Price,Mean Bids Size,Mean Asks Price,Mean Asks Size,Price After 1min
91200.5077077765,25.56313605371644,215109.99212911085,0.3161548382492894,118477.095
91173.85315581602,25.589167935734807,215086.4526546517,0.3160778082367267,118466.045
91180.92140045854,25.582796756885752,215046.3722697395,0.3160141187681571,118485.835
91187.91712202731,25.57705850669192,215046.96716627444,0.3159981198466282,118458.455
91172.11208485968,25.591743986909183,215046.68408504425,0.3161604337393491,118408.495
91181.70511527928,25.584427854344312,214800.6550299498,0.3154188584587988,118431.005
91160.74962965323,25.60491268160313,215035.4637990912,0.3152018667810776,118446.06
91188.39750294502,25.578738851096503,214917.43451576305,0.3158419111338034,118391.33
91180.37576483328,25.586453763787063,214948.3634706121,0.3157338034608836,118406.305
91192.87997548864,25.57478079261921,214956.5415574833,0.315818003510621,118397.045
91197.60290442697,25.569086068916643,214963.75778967,0.3158046029360253,118413.615
91193.39003628957,25.574787389922328,214980.5530021896,0.3166203111702214,118468.075
91188.03133199592,25.582876954239275,214989.05093755072,0.3165989869805353,118485.835
91217.43632832875,25.5552769232238,214950.56142926624,0.3161273863186056,118478.295
91217.86470816504,25.55441804016636,214864.1417803337,0.3150741435938765,118499.995
91209.98068726336,25.56245560651149,214896.3847504456,0.3151202140633609,118526.935
91226.42887175248,25.547878512687703,214904.91381654647,0.3151244060983713,118528.005
91229.8902654839,25.54377129730637,214897.96814859824,0.315106287365905,118514.28
91214.1388728765,25.558254809562893,214735.01859823667,0.3145658303850198,118552.165
91226.7842005851,25.546851703660007,215047.0040923477,0.3162852212813438,118530.27
91215.61687323046,25.55767291917608,214750.8135935604,0.3154994560698972,118506.875
91211.59922687792,25.56080212157933,214812.6349356432,0.3152523284319598,118493.74
91211.38882384756,25.559169714561445,214858.53587592128,0.3159329579088037,118467.825
91206.0299312671,25.56491377421689,214858.9975411031,0.3159538931068276,118408.865
91191.28255524424,25.58116032173024,214756.0128972492,0.3157681943131068,118373.87
91185.60548726116,25.585698401778345,214664.75984493617,0.3158071702269423,118343.765
91185.25089012738,25.58593064895573,214765.8898399224,0.3160845303225806,118366.755
91217.31785546152,25.554910501962272,214862.3837104475,0.3160833531917132,118403.635
91175.31615183664,25.594679079165623,214695.42594151388,0.3158306885806608,118333.725
